id,start_time,end_time,age_range,occupation,stress_frequency,mental_health_rating,stress_symptoms,productivity_rating,performance_impact,sleep_hours,overwhelmed_frequency,deadline_impact,mental_health_resources,mental_health_importance
149,11/6/2024 21:36,11/6/2024 21:38,55 +,Employee,Never,Great,Insomnia;,3,No,7 - 8 hours,Rarely,Nither agree or disagree,No,Agree
150,11/6/2024 22:01,11/6/2024 22:03,25 - 34,Employee,Rarely,Great,Insomnia;,4,No,9 - 10 hours,Rarely,Agree,Yes,Nither agree or disagree
151,11/6/2024 22:06,11/6/2024 22:07,45 - 54,Employee,Rarely,Average,Insomnia;,3,Yes,5 - 6 hours,Sometimes,Agree,No,Agree
152,11/6/2024 22:15,11/6/2024 22:17,35 - 44,Employee,Daily,Average,Fatigue or lack of energy;Difficulty concentrating;Increased irritability;Insomnia;,3,Yes,5 - 6 hours,Often,Agree,No,Agree
153,11/6/2024 22:18,11/6/2024 22:21,45 - 54,Employee,Rarely,Excellent,Fatigue or lack of energy;Insomnia;,3,Yes,7 - 8 hours,Rarely,Agree,No,Agree
154,11/6/2024 22:21,11/6/2024 22:22,55 +,Employee,Rarely,Excellent,Insomnia;,3,Yes,5 - 6 hours,Sometimes,Agree,No,Agree
155,11/6/2024 22:24,11/6/2024 22:25,45 - 54,Employee,Monthly,Excellent,Increased irritability;,4,No,5 - 6 hours,Sometimes,Agree,Yes,Agree
156,11/6/2024 22:24,11/6/2024 22:26,35 - 44,other,Daily,Average,Fatigue or lack of energy;Headaches;,5,Yes,3 - 4 hours,Often,Strongly agree,No,Nither agree or disagree
157,11/6/2024 22:25,11/6/2024 22:27,18 - 24,Student,weekly,Average,Fatigue or lack of energy;,3,No,7 - 8 hours,Rarely,Agree,No,Agree
158,11/6/2024 22:28,11/6/2024 22:30,45 - 54,Employee,Rarely,Great,Fatigue or lack of energy;,4,Yes,5 - 6 hours,Rarely,Agree,No,Agree
159,11/6/2024 22:28,11/6/2024 22:31,45 - 54,Employee,Monthly,Excellent,Increased irritability;Fatigue or lack of energy;,4,Yes,5 - 6 hours,Rarely,Agree,Yes,Strongly agree
160,11/6/2024 22:30,11/6/2024 22:32,55 +,Employee,Rarely,Excellent,Easier to get hungry;,4,Yes,5 - 6 hours,Rarely,Strongly agree,Yes,Agree
161,11/6/2024 22:33,11/6/2024 22:36,35 - 44,Employee,weekly,Average,Increased irritability;,4,No,5 - 6 hours,Sometimes,Nither agree or disagree,No,Agree
162,11/6/2024 22:36,11/6/2024 22:37,18 - 24,other,Monthly,Excellent,Insomnia;Headaches;Increased irritability;,3,Yes,5 - 6 hours,Rarely,Agree,Yes,Agree
163,11/6/2024 22:34,11/6/2024 22:37,45 - 54,other,Monthly,Excellent,Increased irritability;Headaches;,3,No,5 - 6 hours,Rarely,Disagree,No,Nither agree or disagree
164,11/6/2024 22:38,11/6/2024 22:39,35 - 44,Employee,Rarely,Excellent,Fatigue or lack of energy;Difficulty concentrating;,1,No,5 - 6 hours,Rarely,Agree,No,Strongly agree
165,11/6/2024 22:41,11/6/2024 22:42,35 - 44,Employee,Rarely,Great,Insomnia;,5,Yes,5 - 6 hours,Rarely,Agree,Yes,Strongly agree
166,11/6/2024 22:41,11/6/2024 22:43,35 - 44,Employee,Monthly,Average,Increased irritability;Insomnia;,4,Yes,5 - 6 hours,Sometimes,Agree,No,Strongly agree
167,11/6/2024 22:42,11/6/2024 22:43,45 - 54,Employee,Rarely,Excellent,Fatigue or lack of energy;Insomnia;,3,Yes,7 - 8 hours,Rarely,Agree,Yes,Agree
168,11/6/2024 22:41,11/6/2024 22:45,25 - 34,Employee,Monthly,Average,Insomnia;Increased irritability;Headaches;Crying;,5,Yes,5 - 6 hours,Sometimes,Agree,No,Strongly agree
169,11/6/2024 22:41,11/6/2024 22:47,35 - 44,Employee,Rarely,Average,Increased irritability;Fatigue or lack of energy;Headaches;,4,Yes,5 - 6 hours,Sometimes,Disagree,No,Strongly agree
170,11/6/2024 22:47,11/6/2024 22:49,18 - 24,Student,Monthly,Average,Increased irritability;Difficulty concentrating;Fatigue or lack of energy;,4,No,7 - 8 hours,Rarely,Nither agree or disagree,Yes,Agree
171,11/6/2024 22:51,11/6/2024 22:53,18 - 24,Student,Rarely,Average,Fatigue or lack of energy;Difficulty concentrating;,3,Yes,5 - 6 hours,Rarely,Agree,Yes,Nither agree or disagree
172,11/6/2024 22:51,11/6/2024 22:55,55 +,other,Rarely,Great,Fatigue or lack of energy;,3,No,7 - 8 hours,Rarely,Agree,Yes,Agree
173,11/6/2024 22:55,11/6/2024 22:57,35 - 44,Employee,Rarely,Average,Fatigue or lack of energy;,4,No,7 - 8 hours,Sometimes,Agree,Yes,Agree
174,11/6/2024 23:05,11/6/2024 23:07,25 - 34,Employee,weekly,Average,Insomnia;Increased irritability;,3,Yes,5 - 6 hours,Sometimes,Nither agree or disagree,Yes,Strongly agree
175,11/6/2024 23:07,11/6/2024 23:08,18 - 24,Student,weekly,Average,Difficulty concentrating;Insomnia;,1,Yes,5 - 6 hours,Sometimes,Nither agree or disagree,Yes,Strongly agree
176,11/6/2024 22:44,11/6/2024 23:09,25 - 34,Employee,Monthly,Average,Fatigue or lack of energy;Difficulty concentrating;Increased irritability;Insomnia;,4,Yes,5 - 6 hours,Sometimes,Agree,No,Strongly agree
177,11/6/2024 23:10,11/6/2024 23:11,55 +,Employee,weekly,Average,Insomnia;Difficulty concentrating;Fatigue or lack of energy;,4,Yes,5 - 6 hours,Sometimes,Agree,No,Agree
178,11/6/2024 23:06,11/6/2024 23:13,45 - 54,Employee,weekly,Average,Fatigue or lack of energy;,4,Yes,7 - 8 hours,Sometimes,Agree,Yes,Agree
179,11/6/2024 23:04,11/6/2024 23:15,25 - 34,Employee,weekly,Average,Difficulty concentrating;Increased irritability;Headaches;Fatigue or lack of energy;,3,Yes,5 - 6 hours,Rarely,Agree,No,Agree
180,11/6/2024 23:17,11/6/2024 23:18,25 - 34,Employee,Rarely,Average,Increased irritability;Fatigue or lack of energy;,2,Yes,5 - 6 hours,Sometimes,Agree,No,Nither agree or disagree
181,11/6/2024 23:18,11/6/2024 23:19,25 - 34,Employee,Monthly,Very Poor,Increased irritability;Insomnia;,3,Yes,5 - 6 hours,Sometimes,Agree,No,Agree
182,11/6/2024 23:16,11/6/2024 23:19,35 - 44,Employee,Daily,Average,Headaches;Fatigue or lack of energy;,5,Yes,5 - 6 hours,Often,Agree,No,Strongly agree
183,11/6/2024 23:20,11/6/2024 23:21,25 - 34,Employee,Rarely,Excellent,Fatigue or lack of energy;Difficulty concentrating;,4,Yes,7 - 8 hours,Rarely,Agree,Yes,Agree
184,11/6/2024 23:21,11/6/2024 23:22,18 - 24,Employee,Daily,Very Poor,Increased irritability;,2,No,1 - 2 hours,Always,Strongly agree,No,Agree
185,11/6/2024 23:19,11/6/2024 23:22,55 +,Employee,Rarely,Average,Fatigue or lack of energy;Increased irritability;,4,Yes,7 - 8 hours,Sometimes,Agree,No,Agree
186,11/6/2024 23:22,11/6/2024 23:23,25 - 34,Employee,Daily,Very Poor,Increased irritability;Difficulty concentrating;,3,Yes,5 - 6 hours,Often,Agree,No,Agree
187,11/6/2024 23:16,11/6/2024 23:23,45 - 54,Employee,Monthly,Excellent,Difficulty concentrating;,3,No,7 - 8 hours,Sometimes,Agree,Yes,Agree
188,11/6/2024 23:21,11/6/2024 23:25,45 - 54,Employee,Monthly,Average,Insomnia;Increased irritability;,4,Yes,5 - 6 hours,Often,Strongly agree,No,Strongly agree
189,11/6/2024 23:26,11/6/2024 23:28,35 - 44,Employee,weekly,Excellent,None;,3,Yes,7 - 8 hours,Rarely,Agree,No,Strongly agree
190,11/6/2024 23:30,11/6/2024 23:31,18 - 24,Employee,weekly,Average,Increased irritability;,4,Yes,5 - 6 hours,Sometimes,Disagree,No,Agree
191,11/6/2024 23:33,11/6/2024 23:34,25 - 34,Employee,Monthly,Excellent,Insomnia;Fatigue or lack of energy;,4,Yes,5 - 6 hours,Sometimes,Agree,No,Agree
192,11/6/2024 23:33,11/6/2024 23:35,18 - 24,other,weekly,Very Poor,Fatigue or lack of energy;Difficulty concentrating;Increased irritability;Insomnia;,3,Yes,5 - 6 hours,Rarely,Agree,No,Agree
193,11/6/2024 23:35,11/6/2024 23:36,25 - 34,Employee,Monthly,Average,Fatigue or lack of energy;,4,Yes,5 - 6 hours,Sometimes,Agree,Yes,Strongly agree
194,11/6/2024 23:35,11/6/2024 23:37,55 +,Employee,Monthly,Excellent,Fatigue or lack of energy;,5,Yes,5 - 6 hours,Sometimes,Agree,No,Strongly agree
195,11/6/2024 23:37,11/6/2024 23:39,45 - 54,Employee,weekly,Excellent,Increased irritability;Insomnia;,4,Yes,7 - 8 hours,Rarely,Agree,No,Agree
196,11/6/2024 23:41,11/6/2024 23:42,25 - 34,Employee,Monthly,Average,Fatigue or lack of energy;Insomnia;,4,Yes,5 - 6 hours,Often,Strongly agree,No,Agree
197,11/6/2024 23:41,11/6/2024 23:42,45 - 54,Employee,Monthly,Average,Fatigue or lack of energy;,4,Yes,5 - 6 hours,Sometimes,Agree,Yes,Agree
198,11/6/2024 23:49,11/6/2024 23:50,25 - 34,Employee,Daily,Average,Fatigue or lack of energy;Increased irritability;Insomnia;,3,Yes,5 - 6 hours,Often,Agree,Yes,Agree
199,11/6/2024 23:50,11/6/2024 23:52,55 +,other,weekly,Great,Fatigue or lack of energy;Increased irritability;Insomnia;Headaches;,4,Yes,7 - 8 hours,Sometimes,Strongly disagree,Yes,Strongly agree
200,11/6/2024 23:49,11/6/2024 23:52,18 - 24,Employee,Monthly,Very Poor,Increased irritability;Headaches;,4,Yes,3 - 4 hours,Sometimes,Disagree,No,Nither agree or disagree
201,11/6/2024 23:50,11/6/2024 23:55,45 - 54,Employee,Daily,Average,Fatigue or lack of energy;Increased irritability;Insomnia;,5,Yes,5 - 6 hours,Often,Agree,Yes,Agree
202,11/6/2024 23:58,11/7/2024 0:00,35 - 44,Employee,Never,Great,None;,5,No,5 - 6 hours,Never,Nither agree or disagree,Yes,Agree
203,11/6/2024 23:57,11/7/2024 0:00,45 - 54,Employee,weekly,Excellent,Fatigue or lack of energy;,3,Yes,5 - 6 hours,Often,Agree,No,Agree
204,11/7/2024 0:08,11/7/2024 0:09,25 - 34,Employee,Daily,Average,Increased irritability;Difficulty concentrating;Fatigue or lack of energy;,2,Yes,5 - 6 hours,Sometimes,Strongly agree,Yes,Agree
205,11/7/2024 0:08,11/7/2024 0:12,45 - 54,other,weekly,Excellent,Difficulty concentrating;Insomnia;,3,Yes,5 - 6 hours,Sometimes,Agree,Yes,Agree
206,11/7/2024 0:11,11/7/2024 0:13,35 - 44,Employee,Monthly,Average,Fatigue or lack of energy;,4,Yes,5 - 6 hours,Sometimes,Agree,No,Agree
207,11/7/2024 0:12,11/7/2024 0:13,18 - 24,other,weekly,Average,Fatigue or lack of energy;Increased irritability;,1,Yes,9 - 10 hours,Rarely,Disagree,Yes,Strongly agree
208,11/7/2024 0:12,11/7/2024 0:14,35 - 44,Employee,Daily,Average,Insomnia;Increased irritability;,4,Yes,5 - 6 hours,Sometimes,Agree,Yes,Agree
209,11/7/2024 0:11,11/7/2024 0:14,55 +,Employee,Monthly,Average,Fatigue or lack of energy;Difficulty concentrating;Headaches;Increased irritability;Insomnia;,4,Yes,3 - 4 hours,Sometimes,Strongly agree,Yes,Agree
210,11/7/2024 0:07,11/7/2024 0:17,55 +,Employee,Monthly,Excellent,Insomnia;,4,Yes,7 - 8 hours,Rarely,Strongly agree,No,Agree
211,11/7/2024 0:17,11/7/2024 0:18,18 - 24,Student,Daily,Very Poor,Increased irritability;Fatigue or lack of energy;,2,Yes,5 - 6 hours,Often,Agree,Yes,Agree
212,11/7/2024 0:20,11/7/2024 0:20,25 - 34,Employee,Daily,Average,Difficulty concentrating;Fatigue or lack of energy;Increased irritability;,2,Yes,5 - 6 hours,Often,Strongly agree,Yes,Strongly agree
213,11/6/2024 23:03,11/7/2024 0:23,55 +,Employee,Monthly,Average,Fatigue or lack of energy;,5,Yes,5 - 6 hours,Often,Agree,No,Strongly agree
214,11/7/2024 0:22,11/7/2024 0:24,25 - 34,other,Daily,Very Poor,Fatigue or lack of energy;Difficulty concentrating;Increased irritability;Insomnia;,1,Yes,5 - 6 hours,Sometimes,Strongly agree,No,Agree
215,11/7/2024 0:23,11/7/2024 0:25,18 - 24,Student,weekly,Average,Fatigue or lack of energy;Insomnia;,3,Yes,5 - 6 hours,Sometimes,Nither agree or disagree,Yes,Strongly agree
216,11/7/2024 0:26,11/7/2024 0:27,18 - 24,Student,Rarely,Excellent,Fatigue or lack of energy;,4,Yes,7 - 8 hours,Rarely,Agree,Yes,Agree
217,11/7/2024 0:31,11/7/2024 0:34,35 - 44,Employee,Monthly,Excellent,Increased irritability;,4,No,5 - 6 hours,Rarely,Disagree,No,Agree
218,11/7/2024 0:40,11/7/2024 0:42,35 - 44,Employee,weekly,Average,Fatigue or lack of energy;Difficulty concentrating;Increased irritability;Insomnia;Headaches;,3,Yes,5 - 6 hours,Always,Strongly agree,No,Strongly agree
219,11/7/2024 0:42,11/7/2024 0:43,35 - 44,Employee,weekly,Average,Fatigue or lack of energy;Increased irritability;Headaches;,3,No,5 - 6 hours,Sometimes,Agree,No,Strongly agree
220,11/7/2024 0:42,11/7/2024 0:45,45 - 54,Employee,Monthly,Excellent,Headaches;,4,No,7 - 8 hours,Rarely,Nither agree or disagree,No,Nither agree or disagree
221,11/7/2024 0:45,11/7/2024 0:47,35 - 44,Employee,Daily,Average,Increased irritability;Headaches;Fatigue or lack of energy;,3,Yes,5 - 6 hours,Often,Agree,Yes,Nither agree or disagree
222,11/7/2024 0:47,11/7/2024 0:48,35 - 44,Employee,Daily,Very Poor,Difficulty concentrating;Increased irritability;Fatigue or lack of energy;Insomnia;,2,Yes,5 - 6 hours,Often,Strongly agree,No,Agree
223,11/7/2024 0:48,11/7/2024 0:53,45 - 54,Employee,Rarely,Excellent,Difficulty concentrating;Fatigue or lack of energy;,4,No,7 - 8 hours,Rarely,Agree,No,Strongly agree
224,11/7/2024 0:51,11/7/2024 0:54,45 - 54,Employee,Rarely,Average,Fatigue or lack of energy;Difficulty concentrating;Insomnia;,3,Yes,5 - 6 hours,Sometimes,Agree,No,Agree
225,11/7/2024 0:58,11/7/2024 1:00,45 - 54,Employee,Rarely,Excellent,Difficulty concentrating;Insomnia;,3,Yes,7 - 8 hours,Rarely,Agree,Yes,Agree
226,11/7/2024 0:59,11/7/2024 1:00,35 - 44,Employee,Rarely,Excellent,Increased irritability;Fatigue or lack of energy,4,Yes,7 - 8 hours,Sometimes,Strongly agree,Yes,Strongly agree
227,11/7/2024 0:58,11/7/2024 1:01,45 - 54,other,weekly,Very Poor,Fatigue or lack of energy;Increased irritability,2,Yes,5 - 6 hours,Often,Agree,No,Agree
228,11/7/2024 0:58,11/7/2024 1:01,18 - 24,Employee,Monthly,Average,Fatigue or lack of energy;Insomnia,4,No,5 - 6 hours,Sometimes,Nither agree or disagree,No,Agree
229,11/7/2024 1:00,11/7/2024 1:02,55 +,Employee,Monthly,Average,Increased irritability,4,Yes,3 - 4 hours,Often,Agree,No,Agree
230,11/7/2024 1:02,11/7/2024 1:02,18 - 24,Student,Rarely,Average,Fatigue or lack of energy;Difficulty concentrating,3,No,5 - 6 hours,Sometimes,Agree,Yes,Strongly agree
231,11/7/2024 1:02,11/7/2024 1:03,18 - 24,Student,weekly,Very Poor,Difficulty concentrating;Increased irritability,2,Yes,7 - 8 hours,Sometimes,Agree,Yes,Agree
232,11/7/2024 1:00,11/7/2024 1:03,18 - 24,Employee,Rarely,Great,Difficulty concentrating,4,Yes,5 - 6 hours,Never,Nither agree or disagree,No,Strongly agree
233,11/7/2024 1:03,11/7/2024 1:04,25 - 34,Employee,Monthly,Excellent,Fatigue or lack of energy;Insomnia,3,Yes,5 - 6 hours,Sometimes,Agree,Yes,Agree
234,11/7/2024 1:04,11/7/2024 1:05,25 - 34,Employee,weekly,Average,Fatigue or lack of energy;Insomnia;Headaches;Increased irritability,4,Yes,7 - 8 hours,Often,Agree,No,Agree
235,11/7/2024 1:02,11/7/2024 1:07,18 - 24,Student,Monthly,Average,Difficulty concentrating;Fatigue or lack of energy,3,Yes,5 - 6 hours,Sometimes,Disagree,Yes,Agree
236,11/7/2024 1:07,11/7/2024 1:07,18 - 24,Student,Daily,Average,Increased irritability;Headaches;Fatigue or lack of energy,4,Yes,7 - 8 hours,Often,Agree,Yes,Agree
237,11/7/2024 1:10,11/7/2024 1:13,55 +,Employee,Rarely,Average,Fatigue or lack of energy;Increased irritability;Insomnia;Headaches,3,Yes,7 - 8 hours,Rarely,Nither agree or disagree,No,Agree
238,11/7/2024 0:47,11/7/2024 1:15,35 - 44,Employee,Monthly,Average,Fatigue or lack of energy,3,Yes,5 - 6 hours,Sometimes,Agree,No,Agree
239,11/7/2024 1:15,11/7/2024 1:16,18 - 24,Student,weekly,Average,Difficulty concentrating;Fatigue or lack of energy;Insomnia,2,Yes,5 - 6 hours,Often,Strongly agree,Yes,Strongly agree
240,11/7/2024 1:16,11/7/2024 1:17,18 - 24,Student,Daily,Very Poor,Fatigue or lack of energy;Increased irritability,3,Yes,5 - 6 hours,Always,Agree,Yes,Strongly agree
241,11/7/2024 1:17,11/7/2024 1:19,45 - 54,Employee,Monthly,Excellent,Increased irritability;Insomnia,4,Yes,7 - 8 hours,Rarely,Agree,Yes,Agree
242,11/7/2024 1:22,11/7/2024 1:23,18 - 24,Student,Rarely,Excellent,Headaches,3,Yes,5 - 6 hours,Rarely,Agree,No,Agree
243,11/7/2024 1:22,11/7/2024 1:23,18 - 24,other,weekly,Average,Fatigue or lack of energy;Difficulty concentrating;Increased irritability;Insomnia;Headaches,4,Yes,5 - 6 hours,Often,Nither agree or disagree,No,Agree
244,11/7/2024 1:20,11/7/2024 1:23,18 - 24,other,Monthly,Average,Fatigue or lack of energy;Difficulty concentrating;Increased irritability,3,Yes,5 - 6 hours,Rarely,Strongly agree,Yes,Agree
245,11/7/2024 1:22,11/7/2024 1:23,18 - 24,Employee,weekly,Average,Increased irritability;Difficulty concentrating;Fatigue or lack of energy;Headaches,3,Yes,7 - 8 hours,Rarely,Agree,No,Strongly agree
246,11/7/2024 1:23,11/7/2024 1:24,18 - 24,Employee,weekly,Average,Difficulty concentrating;Insomnia;Headaches;Anxiety,3,Yes,5 - 6 hours,Often,Strongly agree,No,Strongly agree
247,11/7/2024 1:24,11/7/2024 1:25,18 - 24,other,Rarely,Average,Fatigue or lack of energy;Difficulty concentrating;Increased irritability;Insomnia,3,Yes,7 - 8 hours,Often,Agree,Yes,Agree
248,11/7/2024 1:24,11/7/2024 1:25,18 - 24,Employee,Daily,Average,Fatigue or lack of energy;Increased irritability,5,No,5 - 6 hours,Sometimes,Disagree,Yes,Agree
249,11/7/2024 1:24,11/7/2024 1:25,18 - 24,Employee,Rarely,Average,Fatigue or lack of energy;Increased irritability;Insomnia,3,No,7 - 8 hours,Rarely,Nither agree or disagree,No,Agree
250,11/7/2024 1:24,11/7/2024 1:28,25 - 34,Employee,weekly,Average,Fatigue or lack of energy;Headaches;Increased irritability;Difficulty concentrating,4,Yes,5 - 6 hours,Sometimes,Agree,No,Agree
251,11/7/2024 1:29,11/7/2024 1:29,35 - 44,Employee,Rarely,Excellent,Increased irritability,2,Yes,3 - 4 hours,Sometimes,Agree,Yes,Agree
252,11/7/2024 1:33,11/7/2024 1:34,18 - 24,Student,weekly,Average,Fatigue or lack of energy;Increased irritability,2,No,7 - 8 hours,Rarely,Nither agree or disagree,Yes,Agree
253,11/7/2024 1:33,11/7/2024 1:35,18 - 24,Student,Rarely,Excellent,Difficulty concentrating;Fatigue or lack of energy;Increased irritability;Insomnia;Headaches,3,Yes,7 - 8 hours,Sometimes,Disagree,Yes,Agree
254,11/7/2024 1:34,11/7/2024 1:35,18 - 24,Student,Rarely,Excellent,Difficulty concentrating;Fatigue or lack of energy,3,Yes,7 - 8 hours,Rarely,Agree,Yes,Agree
255,11/7/2024 1:37,11/7/2024 1:38,18 - 24,Student,weekly,Average,Fatigue or lack of energy;Increased irritability;Insomnia;Difficulty concentrating,5,Yes,5 - 6 hours,Often,Agree,No,Strongly agree
256,11/7/2024 1:37,11/7/2024 1:38,25 - 34,Employee,Monthly,Average,Fatigue or lack of energy;Difficulty concentrating;Increased irritability;Headaches,3,Yes,7 - 8 hours,Sometimes,Agree,Yes,Agree
257,11/7/2024 1:37,11/7/2024 1:38,18 - 24,Student,Monthly,Great,Difficulty concentrating;Increased irritability;Fatigue or lack of energy;Insomnia,4,Yes,5 - 6 hours,Sometimes,Agree,No,Agree
258,11/7/2024 1:37,11/7/2024 1:38,25 - 34,Employee,Monthly,Average,Increased irritability,4,Yes,5 - 6 hours,Sometimes,Agree,No,Agree
259,11/7/2024 1:35,11/7/2024 1:39,45 - 54,other,Rarely,Average,Fatigue or lack of energy,1,Yes,5 - 6 hours,Sometimes,Nither agree or disagree,Yes,Agree
260,11/7/2024 1:38,11/7/2024 1:39,18 - 24,Student,Monthly,Average,Fatigue or lack of energy,4,No,5 - 6 hours,Sometimes,Nither agree or disagree,Yes,Agree
261,11/7/2024 1:45,11/7/2024 1:45,18 - 24,Employee,weekly,Excellent,Fatigue or lack of energy;Increased irritability,4,Yes,7 - 8 hours,Sometimes,Strongly agree,No,Strongly agree
262,11/7/2024 1:50,11/7/2024 1:52,18 - 24,Student,weekly,Average,Fatigue or lack of energy;Difficulty concentrating;Headaches,2,Yes,5 - 6 hours,Often,Agree,Yes,Agree
263,11/7/2024 1:53,11/7/2024 1:55,18 - 24,Student,Rarely,Very Poor,Insomnia;Increased irritability;Fatigue or lack of energy;Difficulty concentrating,3,Yes,7 - 8 hours,Often,Agree,Yes,Agree
264,11/7/2024 1:55,11/7/2024 1:56,18 - 24,Student,Monthly,Excellent,Fatigue or lack of energy;Difficulty concentrating;Increased irritability;Headaches,4,Yes,5 - 6 hours,Sometimes,Agree,Yes,Agree
265,11/7/2024 1:55,11/7/2024 1:56,45 - 54,Employee,Daily,Excellent,Fatigue or lack of energy;Difficulty concentrating;Increased irritability;Insomnia,4,Yes,5 - 6 hours,Sometimes,Agree,Yes,Agree
266,11/7/2024 1:55,11/7/2024 1:57,18 - 24,other,Daily,Very Poor,Fatigue or lack of energy;Increased irritability,2,Yes,More than 10 hours,Sometimes,Nither agree or disagree,No,Strongly agree
267,11/7/2024 1:55,11/7/2024 1:58,55 +,Employee,Rarely,Excellent,None;,3,No,5 - 6 hours,Rarely,Agree,No,Agree
268,11/7/2024 1:56,11/7/2024 1:58,18 - 24,Student,Monthly,Average,Fatigue or lack of energy;Increased irritability,3,Yes,7 - 8 hours,Rarely,Agree,Yes,Agree
269,11/7/2024 1:57,11/7/2024 1:58,18 - 24,Student,weekly,Very Poor,Insomnia;Headaches;Difficulty concentrating;Increased irritability,2,Yes,5 - 6 hours,Sometimes,Agree,Yes,Strongly agree
270,11/7/2024 2:00,11/7/2024 2:01,18 - 24,other,Monthly,Average,Increased irritability;Insomnia,4,Yes,5 - 6 hours,Sometimes,Agree,Yes,Nither agree or disagree
271,11/7/2024 2:10,11/7/2024 2:11,18 - 24,Student,weekly,Very Poor,Increased irritability;Insomnia;Stomachache,3,Yes,7 - 8 hours,Sometimes,Nither agree or disagree,Yes,Agree
272,11/7/2024 2:12,11/7/2024 2:13,18 - 24,other,weekly,Average,Insomnia;Fatigue or lack of energy,2,Yes,5 - 6 hours,Often,Agree,Yes,Agree
273,11/7/2024 2:18,11/7/2024 2:21,25 - 34,Employee,Monthly,Average,Fatigue or lack of energy;Difficulty concentrating;Increased irritability;Headaches,4,Yes,5 - 6 hours,Often,Agree,No,Nither agree or disagree
274,11/7/2024 2:22,11/7/2024 2:23,18 - 24,Student,weekly,Average,Fatigue or lack of energy;Insomnia,3,Yes,7 - 8 hours,Sometimes,Agree,Yes,Agree
275,11/7/2024 2:23,11/7/2024 2:24,18 - 24,Student,Rarely,Excellent,Fatigue or lack of energy;Headaches,4,No,7 - 8 hours,Rarely,Agree,Yes,Strongly agree
276,11/7/2024 2:26,11/7/2024 2:28,45 - 54,Employee,Daily,Average,Increased irritability,5,Yes,5 - 6 hours,Sometimes,Agree,No,Strongly agree
277,11/7/2024 2:30,11/7/2024 2:31,18 - 24,Employee,weekly,Average,Increased irritability,5,No,5 - 6 hours,Sometimes,Agree,Yes,Agree
278,11/7/2024 2:31,11/7/2024 2:32,25 - 34,Employee,Daily,Very Poor,Fatigue or lack of energy;Increased irritability,1,Yes,5 - 6 hours,Always,Strongly agree,No,Strongly agree
279,11/7/2024 2:32,11/7/2024 2:35,25 - 34,other,Monthly,Average,Difficulty concentrating;Insomnia;Headaches,2,Yes,5 - 6 hours,Sometimes,Nither agree or disagree,Yes,Agree
280,11/7/2024 2:29,11/7/2024 2:36,45 - 54,Employee,Rarely,Average,Insomnia,4,Yes,7 - 8 hours,Sometimes,Agree,No,Agree
281,11/7/2024 2:36,11/7/2024 2:39,25 - 34,Employee,Monthly,Average,Increased irritability;Insomnia;Headaches,3,No,7 - 8 hours,Sometimes,Nither agree or disagree,Yes,Agree
282,11/7/2024 2:41,11/7/2024 2:43,45 - 54,Employee,Rarely,Great,Insomnia,5,No,7 - 8 hours,Sometimes,Agree,No,Strongly agree
283,11/7/2024 2:42,11/7/2024 2:43,45 - 54,other,Monthly,Average,Insomnia,2,Yes,5 - 6 hours,Sometimes,Agree,No,Agree
284,11/7/2024 2:39,11/7/2024 2:44,45 - 54,Employee,Monthly,Average,Fatigue or lack of energy,2,Yes,5 - 6 hours,Sometimes,Agree,Yes,Agree
285,11/7/2024 2:48,11/7/2024 2:49,45 - 54,Employee,Daily,Average,Insomnia,4,Yes,5 - 6 hours,Sometimes,Agree,Yes,Agree
286,11/7/2024 2:53,11/7/2024 2:53,18 - 24,Employee,Monthly,Average,Increased irritability;Insomnia;Fatigue or lack of energy,4,Yes,5 - 6 hours,Rarely,Disagree,Yes,Agree
287,11/7/2024 2:56,11/7/2024 2:57,45 - 54,other,Rarely,Excellent,Increased irritability,5,Yes,5 - 6 hours,Rarely,Disagree,No,Nither agree or disagree
288,11/7/2024 2:57,11/7/2024 2:59,18 - 24,Student,Daily,Average,Fatigue or lack of energy;Difficulty concentrating;Increased irritability;Insomnia,4,No,5 - 6 hours,Sometimes,Disagree,No,Strongly agree
289,11/7/2024 3:00,11/7/2024 3:02,25 - 34,Employee,Rarely,Excellent,Fatigue or lack of energy;Difficulty concentrating,4,Yes,5 - 6 hours,Often,Agree,No,Agree
290,11/7/2024 3:01,11/7/2024 3:02,55 +,Employee,Monthly,Average,Fatigue or lack of energy;Difficulty concentrating,3,Yes,5 - 6 hours,Sometimes,Agree,Yes,Agree
291,11/7/2024 2:35,11/7/2024 3:02,18 - 24,Student,Monthly,Excellent,Difficulty concentrating,4,No,5 - 6 hours,Rarely,Disagree,Yes,Disagree
292,11/7/2024 3:08,11/7/2024 3:11,45 - 54,Employee,Monthly,Average,Increased irritability;Fatigue or lack of energy,4,Yes,7 - 8 hours,Sometimes,Agree,No,Strongly agree
293,11/7/2024 3:12,11/7/2024 3:14,45 - 54,Employee,weekly,Average,Fatigue or lack of energy;Increased irritability;Insomnia,4,Yes,5 - 6 hours,Rarely,Strongly agree,No,Agree
294,11/7/2024 3:14,11/7/2024 3:17,55 +,other,weekly,Excellent,Increased irritability,4,Yes,7 - 8 hours,Sometimes,Agree,Yes,Agree
295,11/7/2024 3:17,11/7/2024 3:18,25 - 34,other,Daily,Average,Fatigue or lack of energy;Difficulty concentrating;Increased irritability;Insomnia;Headaches,3,Yes,3 - 4 hours,Sometimes,Agree,No,Agree
